hq_id,original_file,identity,split,image_path
19,163132.jpg,3811,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\19.jpg
20,057380.jpg,3279,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\20.jpg
21,097644.jpg,2969,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\21.jpg
22,082112.jpg,9794,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\22.jpg
23,117315.jpg,9835,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\23.jpg
24,134267.jpg,8964,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\24.jpg
25,116487.jpg,5007,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\25.jpg
26,190261.jpg,9728,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\26.jpg
27,005990.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\27.jpg
28,105832.jpg,9678,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\28.jpg
29,167425.jpg,331,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\29.jpg
30,132980.jpg,3070,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\30.jpg
31,109161.jpg,5504,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\31.jpg
32,146917.jpg,3270,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\32.jpg
33,131360.jpg,515,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\33.jpg
34,146932.jpg,3907,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\34.jpg
35,130537.jpg,3705,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\35.jpg
36,005000.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\36.jpg
37,035668.jpg,2377,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\37.jpg
38,031876.jpg,4262,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\38.jpg
39,140963.jpg,9962,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\39.jpg
40,172346.jpg,3283,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\40.jpg
41,063836.jpg,2235,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\41.jpg
42,096001.jpg,6387,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\42.jpg
43,050940.jpg,6791,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\43.jpg
44,192206.jpg,9737,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\44.jpg
45,122644.jpg,9272,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\45.jpg
46,019681.jpg,9211,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\46.jpg
47,019871.jpg,313,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\47.jpg
48,092500.jpg,8942,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\48.jpg
49,153965.jpg,6155,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\49.jpg
50,061395.jpg,5544,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\50.jpg
51,048169.jpg,6995,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\51.jpg
52,156163.jpg,9090,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\52.jpg
53,088898.jpg,476,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\53.jpg
54,119530.jpg,5262,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\54.jpg
55,162642.jpg,6018,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\55.jpg
56,029588.jpg,6443,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\56.jpg
57,162999.jpg,3782,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\57.jpg
58,026604.jpg,1565,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\58.jpg
59,199432.jpg,7824,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\59.jpg
60,169007.jpg,3782,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\60.jpg
61,019014.jpg,6159,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\61.jpg
62,089915.jpg,2382,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\62.jpg
63,155234.jpg,3912,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\63.jpg
64,155468.jpg,3166,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\64.jpg
65,085807.jpg,4035,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\65.jpg
66,018839.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\66.jpg
67,044088.jpg,901,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\67.jpg
68,132316.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\68.jpg
69,093692.jpg,1657,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\69.jpg
70,046155.jpg,257,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\70.jpg
71,031549.jpg,1513,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\71.jpg
72,120822.jpg,3221,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\72.jpg
73,091901.jpg,5250,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\73.jpg
74,048160.jpg,1648,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\74.jpg
75,144880.jpg,9277,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\75.jpg
76,154707.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\76.jpg
77,069107.jpg,8847,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\77.jpg
78,179711.jpg,1314,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\78.jpg
79,088863.jpg,7187,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\79.jpg
80,079378.jpg,1423,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\80.jpg
81,152071.jpg,3298,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\81.jpg
82,142269.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\82.jpg
83,030583.jpg,353,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\83.jpg
84,183527.jpg,7883,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\84.jpg
85,026021.jpg,3279,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\85.jpg
86,007847.jpg,2202,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\86.jpg
87,076040.jpg,5293,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\87.jpg
88,061279.jpg,4936,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\88.jpg
89,177226.jpg,1558,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\89.jpg
90,157645.jpg,1985,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\90.jpg
91,137680.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\91.jpg
92,162202.jpg,3727,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\92.jpg
93,184214.jpg,7789,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\93.jpg
94,043065.jpg,8742,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\94.jpg
95,135024.jpg,1513,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\95.jpg
96,062702.jpg,6730,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\96.jpg
97,097516.jpg,6806,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\97.jpg
98,063482.jpg,8663,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\98.jpg
99,167331.jpg,386,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\99.jpg
100,129785.jpg,9206,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\100.jpg
101,171850.jpg,3559,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\101.jpg
102,118126.jpg,4571,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\102.jpg
103,157442.jpg,4664,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\103.jpg
104,055572.jpg,6440,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\104.jpg
105,066849.jpg,8440,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\105.jpg
106,037902.jpg,260,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\106.jpg
107,050948.jpg,8761,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\107.jpg
108,192553.jpg,5256,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\108.jpg
109,026010.jpg,4255,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\109.jpg
110,004876.jpg,3999,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\110.jpg
111,081847.jpg,5827,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\111.jpg
112,166409.jpg,114,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\112.jpg
113,001210.jpg,1281,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\113.jpg
114,033205.jpg,251,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\114.jpg
115,107819.jpg,8141,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\115.jpg
116,028549.jpg,5272,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\116.jpg
117,168586.jpg,620,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\117.jpg
118,004645.jpg,1128,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\118.jpg
119,097317.jpg,2534,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\119.jpg
120,009577.jpg,680,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\120.jpg
121,010378.jpg,5344,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\121.jpg
122,146504.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\122.jpg
123,028150.jpg,138,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\123.jpg
124,013016.jpg,2678,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\124.jpg
125,067742.jpg,2972,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\125.jpg
126,178253.jpg,4643,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\126.jpg
127,196281.jpg,9864,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\127.jpg
128,083317.jpg,260,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\128.jpg
129,095421.jpg,614,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\129.jpg
130,066054.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\130.jpg
131,175101.jpg,386,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\131.jpg
132,171941.jpg,2985,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\132.jpg
133,194431.jpg,8114,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\133.jpg
134,197202.jpg,9511,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\134.jpg
135,068510.jpg,1726,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\135.jpg
136,073267.jpg,5313,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\136.jpg
137,059816.jpg,6530,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\137.jpg
138,050053.jpg,5617,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\138.jpg
139,189804.jpg,9864,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\139.jpg
140,163738.jpg,1037,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\140.jpg
141,007961.jpg,8643,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\141.jpg
142,192444.jpg,8245,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\142.jpg
143,005326.jpg,2879,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\143.jpg
144,163650.jpg,4453,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\144.jpg
145,173532.jpg,114,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\145.jpg
146,056407.jpg,9790,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\146.jpg
147,190186.jpg,8951,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\147.jpg
148,059885.jpg,6386,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\148.jpg
149,155023.jpg,4111,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\149.jpg
150,120134.jpg,8506,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\150.jpg
151,201269.jpg,7707,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\151.jpg
152,109087.jpg,6904,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\152.jpg
153,113901.jpg,7329,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\153.jpg
154,103863.jpg,10080,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\154.jpg
155,021350.jpg,4256,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\155.jpg
156,102590.jpg,4255,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\156.jpg
157,088415.jpg,2325,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\157.jpg
158,147708.jpg,4664,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\158.jpg
159,120584.jpg,2879,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\159.jpg
160,024260.jpg,10142,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\160.jpg
161,020570.jpg,7126,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\161.jpg
162,117888.jpg,4598,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\162.jpg
163,022139.jpg,4262,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\163.jpg
164,040713.jpg,5551,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\164.jpg
165,062073.jpg,1054,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\165.jpg
166,098676.jpg,239,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\166.jpg
167,151695.jpg,1239,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\167.jpg
168,113767.jpg,2661,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\168.jpg
169,018698.jpg,291,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\169.jpg
170,113419.jpg,9211,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\170.jpg
171,083790.jpg,658,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\171.jpg
172,188790.jpg,7876,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\172.jpg
173,033654.jpg,8898,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\173.jpg
174,052647.jpg,7386,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\174.jpg
175,191342.jpg,8918,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\175.jpg
176,045336.jpg,10176,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\176.jpg
177,141661.jpg,8847,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\177.jpg
178,015044.jpg,9087,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\178.jpg
179,181454.jpg,4023,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\179.jpg
180,158217.jpg,2792,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\180.jpg
181,140471.jpg,85,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\181.jpg
182,182083.jpg,2685,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\182.jpg
183,059958.jpg,861,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\183.jpg
184,097835.jpg,7331,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\184.jpg
185,078198.jpg,8856,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\185.jpg
186,151207.jpg,8271,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\186.jpg
187,108400.jpg,7961,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\187.jpg
188,195605.jpg,6703,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\188.jpg
189,003767.jpg,993,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\189.jpg
190,009903.jpg,6803,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\190.jpg
191,053537.jpg,7320,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\191.jpg
192,131828.jpg,6365,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\192.jpg
193,125254.jpg,2517,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\193.jpg
194,067319.jpg,6016,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\194.jpg
195,193296.jpg,4978,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\195.jpg
196,055165.jpg,6806,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\196.jpg
197,138858.jpg,7569,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\197.jpg
198,074194.jpg,4268,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\198.jpg
199,110217.jpg,1657,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\199.jpg
200,143773.jpg,8974,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\200.jpg
201,019773.jpg,1725,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\201.jpg
202,094015.jpg,6532,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\202.jpg
203,096464.jpg,7725,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\203.jpg
204,014810.jpg,6994,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\204.jpg
205,168124.jpg,1899,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\205.jpg
206,066634.jpg,7022,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\206.jpg
207,036859.jpg,6672,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\207.jpg
208,063733.jpg,3802,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\208.jpg
209,079918.jpg,27,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\209.jpg
210,017393.jpg,2960,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\210.jpg
211,148721.jpg,7265,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\211.jpg
212,084279.jpg,27,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\212.jpg
213,075182.jpg,6199,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\213.jpg
214,126297.jpg,731,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\214.jpg
215,139876.jpg,721,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\215.jpg
216,022100.jpg,3494,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\216.jpg
217,052361.jpg,5025,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\217.jpg
218,100249.jpg,7159,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\218.jpg
219,032536.jpg,867,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\219.jpg
220,056933.jpg,8663,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\220.jpg
221,006240.jpg,806,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\221.jpg
222,143003.jpg,251,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\222.jpg
223,165319.jpg,4458,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\223.jpg
224,168042.jpg,4537,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\224.jpg
225,126482.jpg,2859,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\225.jpg
226,168779.jpg,365,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\226.jpg
227,067645.jpg,2443,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\227.jpg
228,198784.jpg,8985,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\228.jpg
