hq_id,original_file,identity,split,image_path,source_sha256
14,055526.jpg,4255,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\14.jpg,de258ac07f69f9305c8dbb0374551d9ed399ac650c1dc6bbfb35a9430e3250a3
15,089616.jpg,3151,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\15.jpg,f6105f6bae109b77bf66efe90db9e25a57e9f35be8054ee4a307918982ba0fd0
16,034959.jpg,8564,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\16.jpg,939ae04df6041b1d097a0182112899d9cd6e30cfa6cd3c7b0d5523f95056a80e
17,174482.jpg,2283,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\17.jpg,989cc1cc829ac60abe8fa49173b0a8d563f958019bb481a5cc568b975d04cfe5
18,154922.jpg,6282,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\18.jpg,fd48e5aa6d0524bff44489398fc7bfaa870cbc8f19c3d61ecdf6268281581b57
19,163132.jpg,3811,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\19.jpg,6330a34e6fea51b025ff5389bce324743fae017dad9e8d56f4726e5ee1335ad2
20,057380.jpg,3279,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\20.jpg,2a4bcad90650b46b3ebe5866d4d6ea4cfbc212c787ef8ec2078f28c9f61e2402
21,097644.jpg,2969,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\21.jpg,ba047283ee2ddc637bd49f25aa8040e353bfa7a3d19476d6339a0d9c122e1cbe
22,082112.jpg,9794,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\22.jpg,de02ced3e89c1f519893780d20cc95a4066397de4d458edf7a4c3c06c3a0e913
23,117315.jpg,9835,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\23.jpg,3cba2c2a3b88aef30c36e1dff44a569cb14fc34eeb60d298f3c2d707a653c406
24,134267.jpg,8964,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\24.jpg,b92f3b9aae363af6dc1450cbe995abc25e74b56b014cdd3fb413cb689f85097d
25,116487.jpg,5007,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\25.jpg,18cff6f8ed02f8e1c7ea44ee02fe507c64a9f5ba722b6757295cf1c20c8c1c37
26,190261.jpg,9728,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\26.jpg,0a80146f80235f435d83d1ddb5df46b074b4aad9b0966b16f42a93054f0abcc9
27,005990.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\27.jpg,368def58e957ac62b6effcfae32e4e2c7ba57d6c7b24f8c444523837ba3098b6
28,105832.jpg,9678,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\28.jpg,8efb6fdf01bd23fb665d919e3ee6637d21f976d67c3bef14f55444faa35e6ac5
29,167425.jpg,331,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\29.jpg,d00608ab210299de0631f335e35b7417887eb82cb0e5dcee3050e1407d32a543
30,132980.jpg,3070,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\30.jpg,53395fe65957aa2e0d3b59e11d12154681ba73e90a09b42b886c544a98ab68b3
31,109161.jpg,5504,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\31.jpg,034f7273adac5760f288bfec1541da753b62bbdcd0683039d37ef03a3b389a7b
32,146917.jpg,3270,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\32.jpg,5f56606a8513d1883adc328f3f40767bd0e59a01df6963849dfa35f521c78c51
33,131360.jpg,515,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\33.jpg,cec27187c252cf0bd693f1ff39327cc2ed8260fb68b986abc7be8833965cef39
34,146932.jpg,3907,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\34.jpg,e8fbcbf374bc213a67defc68253ef1100e5062b5962e4f565bb6f0fda19ebdc1
35,130537.jpg,3705,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\35.jpg,3b8370afedc51bce8bac0986c068b839f3542e051444c68b3c61fc8610bf445d
36,005000.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\36.jpg,4cc5003a85f6e7f84fc701b3db9662aaa34da7d47c59aae5ae619ac6e0032bcb
37,035668.jpg,2377,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\37.jpg,d739a91504062ab1e3bcab8517c6c0c8ee489411e5c63f9bba1d47dde86dc3b1
38,031876.jpg,4262,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\38.jpg,f700b8ae19f13280ee74f126dce6fb14533c8157d273cf780b657fbf0cfbac67
39,140963.jpg,9962,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\39.jpg,056107a9d97ed7ff8aea09389c0edb271362c84f040b499a6fdaf4f8a205046c
40,172346.jpg,3283,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\40.jpg,b902d6fc5602178a0e7c9e9fba00d83ec670b32d3eb40a1186c644d3a1aeca8a
41,063836.jpg,2235,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\41.jpg,ecc05a2730662545ecebda13c5db7c2f644a12e94e8f3dcc117c5d8426756103
42,096001.jpg,6387,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\42.jpg,9dd0113fdace5c9f19d7c7c789f9d345bae97c35281e79952522a373107373b9
43,050940.jpg,6791,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\43.jpg,b25c3eb403820596bb7f9ea8b800d5dd75950df727bf91fe3aa766e2fb8d9543
44,192206.jpg,9737,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\44.jpg,f5223089b9fb03336ed24f79aff9d075d77b870d1f0f5b303423865797f590d4
45,122644.jpg,9272,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\45.jpg,333d33810ae322a9d0397532ad94306b77a608d35aac01f96fa0af5bf66f7d5a
46,019681.jpg,9211,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\46.jpg,76922b7e3bbf63ddcaca0863d78e30cf99a344b9583985bb3d4ca6b54937283f
47,019871.jpg,313,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\47.jpg,1e8d19735505cd0b63bfc06606a814ba1e9bf8ac92340191acb69c2006c55899
48,092500.jpg,8942,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\48.jpg,3331ff478d9b47598e9f03d974b6e0e893ef0fc90d568520c982833ab3137314
49,153965.jpg,6155,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\49.jpg,6335bb8db8c6cefe54300dc85c8f628d5c86aa806ff7303ed1fa8d11474e1757
50,061395.jpg,5544,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\50.jpg,26d003b5fdf6b38ef957babe84621a7b7ec007f7d85c343a7429dcab463d646e
51,048169.jpg,6995,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\51.jpg,0d91cb61d40f8b76daff68fbcb760bf76a490b117111e33443c808884c502284
52,156163.jpg,9090,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\52.jpg,64b1c89015c332259d94ea311fb9ca8076160856fcf2c741b6acdfcf8af2a01b
53,088898.jpg,476,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\53.jpg,710fd26184c864f49f512082215588c60b7864c4597d918d63ff5f2102d9195f
54,119530.jpg,5262,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\54.jpg,6de16a1076276e7f55c8470a59f67428ea95360b3b27b55bc873fcf21b832eae
55,162642.jpg,6018,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\55.jpg,e203f3f5f449d8fed796f35034aabea625824f7e63d9bf41106c420a45cc93cd
56,029588.jpg,6443,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\56.jpg,80d9e01aae533119a17117e90f4d8b6e1076c901cfa5218e82a4eabc60b910b5
57,162999.jpg,3782,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\57.jpg,299f12a43b5664a5f17c2a19394d394327c8637576952dbffa15538ed857a3a2
58,026604.jpg,1565,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\58.jpg,e4dbae63852488147234f580f51af9a726920c7772e80592cdc86d7d8a35f802
59,199432.jpg,7824,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\59.jpg,d453ffbb0b2288690aecdb60b228d3ce95936eb9450f39519f9480a62e23a07f
60,169007.jpg,3782,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\60.jpg,2712abba7df05fef67d05922d37798a2744f8d8606a8199a8b23f476a1e99855
61,019014.jpg,6159,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\61.jpg,33de496f146f35b265843ee1a88d987e87b4ece6bf560c702b4cfaa3ba7e750f
62,089915.jpg,2382,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\62.jpg,5b5c7715353297b15baf845b902dad0c093a4359b4be85a6f815808e3e7eda44
63,155234.jpg,3912,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\63.jpg,6d6082b86d24550771098789457ed09eaeebb2aa2f5a1d35e2fd52ec9eaf4e70
64,155468.jpg,3166,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\64.jpg,3d6ab02f3337eaa9485b218c503dd326b5037c6d2806832947baaeadb5c81320
65,085807.jpg,4035,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\65.jpg,2ca68ed47745844c5b05e9bce7ff4254260b223b712eb412e9ffba7d73f96ade
66,018839.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\66.jpg,6f3fe89bf865022c574f8faa28b2c7fd829a41f023c454f7d4e67c7334118cad
67,044088.jpg,901,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\67.jpg,d3f672b51b3ca263743aa85f28843804c93e4e8eeec14ebeb682826da2451ccd
68,132316.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\68.jpg,a57ce0ab92608f044582e0c50dd89c3fa8dd408ba0761ca0ed8f2f270231cac2
69,093692.jpg,1657,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\69.jpg,fe515342f7acded60f0fb7391fac0330839d0fcd5dc7b26c7d5ec9eed8595156
70,046155.jpg,257,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\70.jpg,603e51b7ef1dc8e5525705cf4d7a7a060e124c9e7cd6d50d80fa23b421b3bed3
71,031549.jpg,1513,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\71.jpg,fa022a47cc6a303e2e4bf91a0e22ea9f06c7dc61b157d3c1d0618fe622476e30
72,120822.jpg,3221,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\72.jpg,6b4cac3d69c895d79c0e4c96cf34fcb9e4b480f56508140ecbfd27180c251f3d
73,091901.jpg,5250,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\73.jpg,2b18cc63a839333f5509be2396184be27867435e501eb5ce6c5902e1ec325427
74,048160.jpg,1648,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\74.jpg,9bdb98e3491fc6d2d91b1221de5fcb563a02e1383ab895a84a63808f054b45d8
75,144880.jpg,9277,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\75.jpg,f5173fac7522eca500dff961fc0a42dd33b4da1169e5e0f04420fe88690144ed
76,154707.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\76.jpg,a841e82ae097a1fd0026120e360623cc2b946d5b20e6cce09663daf3e019a8af
77,069107.jpg,8847,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\77.jpg,d77238a49df6f7fbc3db6b50780e1469272f3c89ea7ef9efbb57af07f176b0fa
78,179711.jpg,1314,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\78.jpg,f39ba07cba69206f03285a081b5244027aa7cbf457c3ccd1b5fd723405bcb94f
79,088863.jpg,7187,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\79.jpg,89ca68cc40ada42c93fb90ff54261b180970ef8d6306e7edc6b88614375ae608
80,079378.jpg,1423,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\80.jpg,63a1ce57417972fff5485b3dfd293231300a6c0dc80d10f5b9747d4976d555d3
81,152071.jpg,3298,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\81.jpg,38f1f58123c38f9000e6b12f7b091964e71d4e0c601a01629da79fa41b24498e
82,142269.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\82.jpg,60df1eaa0782d749e14a9c799fe519fc04a707028760c9b2a4a1fe022c0e25a0
83,030583.jpg,353,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\83.jpg,2021377bf87955ca717d7fa7d5890c7cf97e3ee9fff449289daddce69c2e85e2
84,183527.jpg,7883,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\84.jpg,cfe660233211e9f6fdc900ff1d1796d05f6200939c09d96eab7bbc6e675f8574
85,026021.jpg,3279,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\85.jpg,ed3cf1d821472f18b400d5856199f6e1d43e464aa478b67da5a7463a928fd49d
86,007847.jpg,2202,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\86.jpg,194b0411ac920d4b54738dfa892649319bdf88a25fe0990aac7ffbf08ae98f90
87,076040.jpg,5293,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\87.jpg,3c19f7f157998409c2c2fae303dff9eaa726d777f87efed3a201849fc3ff05d7
88,061279.jpg,4936,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\88.jpg,7831fe19282e37a52862332af20da43af64803326a14607f50fb910ee03840f7
89,177226.jpg,1558,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\89.jpg,a43f8feb9fd4244f4deab6589231aeabd634946496566ad8a8c432b66da73969
90,157645.jpg,1985,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\90.jpg,ca381063bfe55f16ecb2ecd0c2ca4cda23748ac4f850b64bbaab08b114d014b6
91,137680.jpg,6461,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\91.jpg,0344a5e7f351b66fac3f4dcb7c1e7baa17bf3c574d3f99214c17306a364a349f
92,162202.jpg,3727,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\92.jpg,62fcac83e092355f830d1990d7ac45e2a6aeb292dbcc01f789ca03ce3ee91d02
93,184214.jpg,7789,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\93.jpg,fad9398e5d894c918f421607758113cc755a73d2e7bc1eca6a11dc9477a45be4
94,043065.jpg,8742,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\94.jpg,990f508b4ad5be37f1ddbfcd2cfdc49c2949c72d0656d9916c97e0887768600a
95,135024.jpg,1513,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\95.jpg,a4d457690cdca641ee0eb552902a929f26f545aed9e1d47ffb9fabce086545fb
96,062702.jpg,6730,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\96.jpg,038d11ea40d278d20e60da0d4e1b5c1cc7afd816ed5a9e241343446d2ca24d99
97,097516.jpg,6806,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\97.jpg,3a231e6377b0cd19a486b52503e395fe3323dcc1d8fcaf7b62e6f9293d595960
98,063482.jpg,8663,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\98.jpg,246057e69f8928212e87cc897fd7b524aafbfcf8212bf60a7cd823b070774628
99,167331.jpg,386,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\99.jpg,29e4917bbf6eb065f8caa5b04459109fd3f65359f49bf6416fd41b776c277f5f
100,129785.jpg,9206,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\100.jpg,b8d68771b38711d09a2fd387f1ff1221d22f5a4bf11d7ef4f3112e7ad97b4903
101,171850.jpg,3559,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\101.jpg,4b9aee192a924b3a015532397fba5826e17f7dfa1f6ad247343f1365684323c4
102,118126.jpg,4571,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\102.jpg,529ce8b335bfe87064fd3576165512f1cc5b26de67c6815300ab33a82adced40
103,157442.jpg,4664,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\103.jpg,ad8ca36144ba7f9dc5ab82c178aa0b4fd46636fabc15ff921218451e0c09cf06
104,055572.jpg,6440,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\104.jpg,cf88596f9e940b2939950d47a3e79781b3aa06ce2201d16c2fa24a2a54ffe000
105,066849.jpg,8440,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\105.jpg,113dee7648b6f26f889cfe374bf1a946dd5027e54db10ac6aba6caa4edec251e
106,037902.jpg,260,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\106.jpg,2e7552180a86fb2245d9d9cd56c36ab076f0d4f7fe970c2797c1989165d2b3e0
107,050948.jpg,8761,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\107.jpg,7ce743cf82f0d0dbe73a69040ea4fda965c4d9369168a92315a7f858552b6bd2
108,192553.jpg,5256,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\108.jpg,fdb9b990dfad76c26d3eddf7be20c761fbb77f972311c029ccd21f377b208107
109,026010.jpg,4255,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\109.jpg,502ec067eadc534d6dc14c640be5119bab9689bbcc59ffac9d7e37c01c587571
110,004876.jpg,3999,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\110.jpg,9c45ef0e64e1983f52d971e8299a9e37c014690e57c93536be4696036c9333b8
111,081847.jpg,5827,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\111.jpg,ab0c5ec256aafc94a1b7ce865f1fd128d1b29b8250724bc150de33d6032e7f4b
112,166409.jpg,114,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\112.jpg,bb2276a9fd5364df7f876e12b6d38413edcddc5ba1a6b7e035332d438d7e0c4d
113,001210.jpg,1281,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\113.jpg,18df8ed41c12dcbde6d2b845c8bfaf07486cb6363b20c5993cdecab429748832
114,033205.jpg,251,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\114.jpg,eb82692a8d63fd4764c18fab3d3ee19e298b2751e44ae2c32cd78cb545fc11a0
115,107819.jpg,8141,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\115.jpg,cd93ff77328a52451716765c2e50c0429bda4d65b612e598c1076fa53d415fea
116,028549.jpg,5272,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\116.jpg,1c4b92f51a581ab3ec3f44403501e3a8fc4ef74fcf2ae56b32f312ec99cb6c67
117,168586.jpg,620,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\117.jpg,7c3811d8e19d1e36b134c311ef7dab7d1a36cd5be958bc3c89d703c3efc0c414
118,004645.jpg,1128,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\118.jpg,e3631616187a31d2c3aef717ab488d5dacb0d380ee181c96ef568637d6484ab4
119,097317.jpg,2534,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\119.jpg,e9cd55d76962ab534a79d42e06704d3d7f155c5e06fd3225ca0654ca018bdd7e
120,009577.jpg,680,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\120.jpg,b868f772a57ef150ba9531dd7383deb31755ce0e43f674c1276222b006ac10b6
121,010378.jpg,5344,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\121.jpg,7fc502d21a4dec498619138c9152b665689a8eec998930d87b44b62280f9de30
122,146504.jpg,4554,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\122.jpg,2054abdddc1ec60b09d047e3ab5ac015af5a0e1a87dfddc508f03875c4bb02b9
123,028150.jpg,138,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\123.jpg,d933ec89f5ef967a4d0999d121f81ce6b05e6fdbafa8449c66175a789deb4632
124,013016.jpg,2678,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\124.jpg,8bbc983a41bbb74bc57e981dafcc73e9429cf65b48609c895995d11ca3e71ca1
125,067742.jpg,2972,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\125.jpg,f7822bf54c4d8fbb1837546137a336217b3103eb9208abc6bf86c24d3eb1cbed
126,178253.jpg,4643,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\126.jpg,77975657e8779cb2632c2ef143ebd6f76b5aa7c9882cbf5a89375f9757487599
127,196281.jpg,9864,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\127.jpg,71c879144b1f14ca39a79c77ac69c1653795090b0310da0d885ca17327f106e4
128,083317.jpg,260,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\128.jpg,17915eb7fabf25c118ad2efb2d8b039114f1fb5bce3c4d4bddf933527e22d791
129,095421.jpg,614,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\129.jpg,57deff4c136f963d746bb44cf86cc153f75f41bdb242cce1ebfda5c56694e248
130,066054.jpg,5611,train,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\130.jpg,c003eaa08fc4718b55988db3b75ace84be22dcd508ff4ed1ad510b0871e9efbe
131,175101.jpg,386,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\131.jpg,bf6a8cf45b06154d7395aa8f1c5d31b15820b652afc87aa813ed33542d307515
132,171941.jpg,2985,val,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\132.jpg,34cc85c428d12b49ec3a095587011cb2ab5894c15eb935c39c9389021fb68813
133,194431.jpg,8114,test,C:\Users\rehaa\Downloads\archive\CelebAMask-HQ\CelebA-HQ-img\133.jpg,cc9edef746a721abcf5dc540a45e6f46adbb00134378b0b992b8bbfd6f0d879a
